regime,scenario,arm,round,job_id,label,tier,c_policy,c_eval,slowdown_mean,slowdown_std,attainment_mean,slo_met_frac,comm_slowdown_v1,slowdown_lt1
S1_moderate,S1,longliu,4,3,J3_S_S,standard,2.0,2.0,1.2663,0.0475,0.6332,1.000,2.4554,N
S1_moderate,S1,longliu,4,4,J4_S_XS,standard,2.0,2.0,1.5513,0.1143,0.7757,0.989,4.6754,N
S1_moderate,S1,longliu,5,0,J0_P_L,premium,1.35,1.5,0.9673,0.0165,0.6448,1.000,0.8774,Y
S1_moderate,S1,longliu,5,1,J1_P_M,premium,1.35,1.5,1.0585,0.0940,0.7057,0.995,1.2192,N
S1_moderate,S1,longliu,5,2,J2_S_M,standard,2.0,2.0,1.7578,0.3483,0.8789,0.747,4.2525,N
S1_moderate,S1,longliu,5,3,J3_S_S,standard,2.0,2.0,1.6854,0.2092,0.8427,0.979,4.7453,N
S1_moderate,S1,longliu,5,4,J4_S_XS,standard,2.0,2.0,1.7223,0.1187,0.8612,0.995,5.8155,N
S1_moderate,S1,static,1,0,J0_P_L,premium,1.35,1.5,1.1060,0.1725,0.7373,0.989,1.3968,N
S1_moderate,S1,static,1,1,J1_P_M,premium,1.35,1.5,1.4105,0.2406,0.9403,0.547,2.5374,N
S1_moderate,S1,static,1,2,J2_S_M,standard,2.0,2.0,1.1532,0.0448,0.5766,1.000,1.6576,N
S1_moderate,S1,static,1,3,J3_S_S,standard,2.0,2.0,1.0985,0.0269,0.5493,1.000,1.5383,N
S1_moderate,S1,static,1,4,J4_S_XS,standard,2.0,2.0,1.1224,0.0516,0.5612,1.000,1.8161,N
S1_moderate,S1,static,2,0,J0_P_L,premium,1.35,1.5,1.0313,0.1583,0.6875,0.995,1.1172,N
S1_moderate,S1,static,2,1,J1_P_M,premium,1.35,1.5,1.3574,0.2193,0.9049,0.574,2.3385,N
S1_moderate,S1,static,2,2,J2_S_M,standard,2.0,2.0,1.0713,0.1320,0.5356,0.995,1.3058,N
S1_moderate,S1,static,2,3,J3_S_S,standard,2.0,2.0,1.1004,0.0344,0.5502,1.000,1.5486,N
S1_moderate,S1,static,2,4,J4_S_XS,standard,2.0,2.0,1.0843,0.1537,0.5421,0.995,1.5618,N
S1_moderate,S1,static,3,0,J0_P_L,premium,1.35,1.5,1.1104,0.1892,0.7403,0.995,1.4134,N
S1_moderate,S1,static,3,1,J1_P_M,premium,1.35,1.5,1.3805,0.2441,0.9204,0.595,2.4253,N
S1_moderate,S1,static,3,2,J2_S_M,standard,2.0,2.0,1.1548,0.0355,0.5774,1.000,1.6643,N
S1_moderate,S1,static,3,3,J3_S_S,standard,2.0,2.0,1.1371,0.0281,0.5686,1.000,1.7493,N
S1_moderate,S1,static,3,4,J4_S_XS,standard,2.0,2.0,1.0866,0.0184,0.5433,1.000,1.5771,N
S1_moderate,S1,static,4,0,J0_P_L,premium,1.35,1.5,1.0987,0.1736,0.7324,0.984,1.3696,N
S1_moderate,S1,static,4,1,J1_P_M,premium,1.35,1.5,1.3893,0.2518,0.9262,0.563,2.4581,N
S1_moderate,S1,static,4,2,J2_S_M,standard,2.0,2.0,1.0899,0.0547,0.5450,1.000,1.3859,N
S1_moderate,S1,static,4,3,J3_S_S,standard,2.0,2.0,1.0829,0.0483,0.5415,1.000,1.4533,N
S1_moderate,S1,static,4,4,J4_S_XS,standard,2.0,2.0,1.0762,0.0251,0.5381,1.000,1.5078,N
S1_moderate,S1,static,5,0,J0_P_L,premium,1.35,1.5,1.0286,0.1450,0.6858,1.000,1.1073,N
S1_moderate,S1,static,5,1,J1_P_M,premium,1.35,1.5,1.2685,0.1609,0.8457,1.000,2.0057,N
S1_moderate,S1,static,5,2,J2_S_M,standard,2.0,2.0,1.1519,0.0322,0.5760,1.000,1.6520,N
S1_moderate,S1,static,5,3,J3_S_S,standard,2.0,2.0,1.0942,0.0186,0.5471,1.000,1.5146,N
