time_s,mean,std,seed0,seed1,seed2,seed3,seed4
322.00,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
322.25,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
322.50,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
322.75,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
323.00,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
323.25,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
323.50,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
323.75,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
324.00,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
324.25,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
324.50,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
324.75,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
325.00,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
325.25,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
325.50,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
325.75,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
326.00,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
326.25,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
326.50,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
326.75,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
327.00,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
327.25,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
327.50,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
327.75,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
328.00,0.125000,0.111803,0.000000,0.250000,0.250000,0.000000,0.125000
328.25,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
328.50,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
328.75,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
329.00,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
329.25,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
329.50,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
329.75,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
330.00,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
